subject,relation,object,topic,old_index
I,was constantly cleaning litter box In,household,0,0
I,was cleaning litter box In,household with three cats,0,1
I,was cleaning,litter box,0,2
I,was constantly cleaning litter box In,household with three cats,0,3
I,was cleaning litter box In,household,0,4
I,was cleaning litter box In,household with three adult cats,0,5
I,was constantly cleaning litter box In,household with three adult cats,0,6
I,was constantly cleaning,litter box,0,7
household,is with,three adult cats,0,8
beaver,is on,really more par size-wise,0,9
little beaver,is on,more par size-wise with kong 34,0,10
beaver,is on,really more par,0,11
little beaver,is on,par with kong 34,0,12
little beaver,is on,really more par size-wise with kong 34,0,13
beaver,is on,par size-wise with kong 34,0,14
beaver,is on,really more par with kong 34,0,15
beaver,is on,more par,0,16
little beaver,is on,par size-wise,0,17
little beaver,is on,par size-wise with kong 34,0,18
little beaver,is on,more par,0,19
little beaver,is on,really more par,0,20
little beaver,is on,more par with kong 34,0,21
beaver,is on,more par size-wise with kong 34,0,22
beaver,is on,more par size-wise,0,23
little beaver,is on,really more par with kong 34,0,24
little beaver,is on,par,0,25
little beaver,is on,really more par size-wise,0,26
beaver,is on,par with kong 34,0,27
beaver,is on,more par with kong 34,0,28
little beaver,is on,more par size-wise,0,29
beaver,is on,really more par size-wise with kong 34,0,30
beaver,is on,par size-wise,0,31
beaver,is on,par,0,32
beaver,is,little,0,33
toy,is,very little,0,34
toy,is,little,0,35
toy,is,little,0,36
Advantage,works well on,my cats,0,37
Advantage,works very well on,my cats,0,38
Advantage,works on,my cats,0,39
Advantage,works,cats,0,40
they,get,so fed,0,44
I,go for,night,0,45
they,get fed in,morning,0,46
they,get,still fed,0,47
they,get,fed,0,48
I,go away for,night,0,49
I,bought for,my cats,0,50
they,get,so still fed,0,51
it,turned out,wonderful read,1,52
it,be,read,1,53
it,be,wonderful,1,54
it,turned out,read,1,55
it,be,wonderful read,1,56
it,turned out,to read,1,57
it,turned out,to wonderful read,1,58
book,chose,wonderful,1,59
book,chose,read,1,60
I enjoyed,was,completely plausible,1,61
old Jacob,was,delightful,1,62
I enjoyed,was,plausible,1,63
drama,is in,love story,1,64
Jacob,was,delightful,1,65
I,'m,relieved,0,67
none,shown,interest in chew,0,68
reviews,is,negative,0,69
story,is,great,1,70
story,is,wonderful,1,71
I,loved,word painted in my head,1,72
I,loved,word painted in head,1,73
I,purchased,I was getting,0,74
I,purchased,while I was getting,0,75
I,was getting,ready for my new corgi puppy,0,76
I,was getting,ready,0,77
I,was getting,ready for my corgi puppy,0,78
I,purchased from,Amazon,0,79
I,was,ready,0,80
I,was,corgi,0,81
I,was,new,0,82
I,was,puppy,0,83
she,threw,brick,0,85
she,throws,it,0,86
our dog,plays with,thing,0,87
I,believe in,good pet food,0,88
I,believe in,pet food,0,89
pet,is,good,0,90
I,believe,good,0,91
I,believe,pet,0,92
I,believe,food,0,93
I,was,really eager,1,94
I,read,book,1,95
I,was,eager,1,96
it,read,I,1,97
it,read,eager,1,98
it,read,book,1,99
it,read,great,1,100
it,read,reviews,1,101
We,have,family,0,103
We,have,family of feral strays,0,104
We,have,family of strays,0,105
Abby,is,8,0,106
!,have,I,0,107
months,is,more,0,108
honesty,use,type,0,109
honesty,use,chemical,0,110
honesty,use,product,0,111
!,use,months,0,112
!,use,dogs,0,113
!,have,We,0,114
!,have,fleas,0,115
I,had put,my Golden retreiver,0,116
he,is getting,old,0,117
Golden,is at,retreiver,0,118
out,put,I,0,119
out,put,retreiver,0,120
out,put,old,0,121
out,put,diet,0,122
My older cat,has eaten,chicken recipe,0,123
My older cat,has eaten chicken recipe in,several,0,124
My cat,has eaten chicken recipe in,several,0,125
My cat,has eaten,chicken recipe,0,126
cat,is,older,0,127
I,have,osteoarthritis,0,128
I,have osteoarthritis in,my hands,0,129
I,take,product,0,130
orthopedist,is at,product,0,131
orthopedist,take,product,0,132
I,tell,I skip few days by accident,0,133
I,tell,if I skip days,0,134
I,tell,I skip days,0,135
I,tell,if I skip days by accident,0,136
I,skip at_time,days,0,137
I,love,product,0,138
I,tell,if I skip few days by accident,0,139
I,skip at_time,few days,0,140
I,tell,if I skip few days,0,141
I,tell,I skip days by accident,0,142
I,tell,I skip few days,0,143
product,tell,few,0,144
product,tell,days,0,145
book,is,great,1,147
book,is,read,1,148
book,is,great read,1,149
book,is,great,1,150
book,is,read,1,151
Beneful,is,various,0,152
one,wins,doggies,0,153
I,needed,large bag,0,154
my dogs,loved product at_time,way,0,155
I,needed,bag,0,156
my two dogs,loved product at_time,way,0,157
size,is,small,0,158
I,have kitten at,my mothers house,0,159
I,have,kitten,0,160
I,order for,him,0,161
I,have,new kitten,0,162
kitten,is,new,0,163
size,is,nice,0,164
best part,is portion in,present day,1,165
main character,is,elderly man,1,166
character,is,when man,1,167
best part,is portion in,day,1,168
part,is,portion,1,169
part,is portion in,present day,1,170
portion,is in,present day,1,171
main character,is,when man,1,172
character,is,when elderly man,1,173
main character,is,man,1,174
part,is portion in,day,1,175
character,is,man,1,176
character,is,elderly,1,177
main character,is,when elderly man,1,178
best part,is,portion,1,179
character,is,elderly man,1,180
part,is,best,1,181
chew toy,is,texture,0,182
chew toy,is,good texture,0,183
toy,is,good,0,184
cats,annoyed,minutes,0,185
Our puppy,chewed through,tabs on sides,0,186
Our puppy,chewed through,right tabs,0,187
Our puppy,chewed through,right tabs on sides,0,188
Our puppy,chewed through,right tabs on sides in a month,0,189
Our puppy,chewed through,tabs on sides in a month,0,190
Our puppy,chewed through,tabs on sides of bowls,0,191
Our puppy,chewed through,right tabs in a month,0,192
tabs,is in,less a month,0,193
Our puppy,chewed through,right tabs on sides of bowls in a month,0,194
Our puppy,chewed through,tabs on sides of bowls in a month,0,195
Our puppy,chewed through,tabs,0,196
Our puppy,chewed through,right tabs on sides of bowls,0,197
Our puppy,chewed through,tabs in a month,0,198
puppy,chewed,tabs,0,199
puppy,chewed,less,0,200
puppy,chewed,sides,0,201
I,get,my cat,0,202
my cat,eat after,her diagnosis,0,203
I,have,cat,0,204
ingredients,is,poor,0,205
catz,is with,renal issues,0,206
seal,is,Good,0,207
seal,woith,problems,0,208
seal,woith,bugs,0,209
32 pound bag,is with,room,0,210
pound,is at,bag,0,211
exposure,is,first,1,212
Ernest,has,exposure,1,213
Ernest,is at,exposure,1,214
aquarium,test,water,0,215
aquarium,test,marine,0,216
store,subscribe,it,0,217
store,subscribe,pet,0,218
My pup,goes so with,me,0,219
My pup,goes everywhere with,me,0,220
sunglasses,protect,my eyes,0,221
My pup,goes everywhere so with,me,0,222
I,wear,sunglasses,0,223
My pup,goes with,me,0,224
My pup,goes most everywhere with,me,0,225
My pup,goes most everywhere so with,me,0,226
I,wanted,same,0,227
pup,wear,sunglasses,0,228
pup,wear,same,0,229
pup,wear,eyes,0,230
It,is tale of,Roberto,1,232
It,is fascinating tale of,Robert Jordon,1,233
