subject,relation,object,new_topic,old_index
role,is in,Yukos up China,10,0
role,lent,$ 6bn,10,1
role,lent,Russia,10,2
Oil,rebounds from,weather effect Oil prices recovered on Tuesday,1,3
Oil,rebounds after,falling in New York on milder winter weather across US,1,4
Oil,rebounds after,falling in New York on winter weather across US,1,5
Oil,rebounds after,falling in New York,1,6
Oil,rebounds after,falling on winter weather,1,7
Oil,rebounds after,falling in New York on winter weather,1,8
Oil,rebounds after,falling on milder winter weather,1,9
Oil,rebounds after,falling on milder winter weather across US,1,10
Oil,rebounds after,falling in New York on milder winter weather,1,11
Oil,rebounds from,weather effect Oil prices,1,12
Oil,rebounds from,weather effect Oil prices recovered in trade on Tuesday,1,13
Oil,rebounds from,weather effect Oil prices recovered in Asian trade on Tuesday,1,14
Oil,rebounds after,falling,1,15
Oil,rebounds from,weather effect Oil prices recovered,1,16
Oil,rebounds from,weather effect Oil prices recovered in Asian trade,1,17
Oil,rebounds after,falling on winter weather across US,1,18
Oil,rebounds from,weather effect Oil prices recovered in trade,1,19
prices,recovered,Asian,1,20
prices,recovered,milder,1,21
Indonesia,needs,debt freeze offered,2,22
Indonesia,needs,debt freeze,2,23
Indonesia,needs,debt freeze offered by Paris Club group,2,24
Economics Minister Aburizal Bakrie,has said at_time,Indonesia ' declines debt freeze,2,25
Economics Minister Aburizal Bakrie,has reportedly said at_time,Indonesia ' declines debt freeze,2,26
Indonesia,needs,debt freeze offered by Paris Club group of creditors,2,27
her post,is in,April 2004,10,28
boss,pay,Â,10,29
US bank,is in,515m SEC settlement,10,30
US,is at,bank,10,31
bank,have,settlement,10,32
bank,have,fraudulent,10,33
bank,have,subsidiaries,10,34
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI,10,35
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI with bid worth,10,36
Verizon ' seals takeover,has won,takeover battle with bid,10,37
Verizon ' seals takeover,has won,takeover battle with bid worth,10,38
Verizon ' seals takeover,has won,takeover battle,10,39
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI with bid,10,40
takeover battle,is with,bid worth,10,41
seals,has,takeover,10,42
seals,has,worth,10,43
seals,has,battle,10,44
Parmalat,boasts,Italian food group at centre of one Europe 's corporate scandals,4,45
Parmalat,boasts,food group at centre of one of Europe 's scandals,4,46
Parmalat,boasts,food group at centre,4,47
